SEQ_AREA;Área;VAL_NACIONAL;DSC_FASE;tem correspondente?
4644;BOM LUGAR;13.955.733.047.999.900;Desenvolvimento;Sim
4644;BOM LUGAR;8.492.707.477.329.100;Produção;Sim
2130;BPOT-100A;-19.671.063.299.999.900;Desenvolvimento;Não
2133;BPOT-4;2022.28;Desenvolvimento;Não
2135;BPOT-6;12111.96;Desenvolvimento;Não
1129;BR;29.378.380.402.699.900;Desenvolvimento;Não
1129;BR;17.811.569.115.735.300;Produção;Não
2137;BR;17.854.280.033.000.000;Desenvolvimento;Não
2137;BR;17.813.789.390.737.700;Produção;Não
2472;BREC-11;17423.06;Desenvolvimento;Não
2480;BREC-9;370.79;Desenvolvimento;Não
1337;BREG;8.630.073.000.000.000;Desenvolvimento;Não
3476;BRG;2.420.847.611.999.990;Desenvolvimento;Não
3476;BRG;7.466.407.415.000.000;Produção;Não
2846;BS-400;11.480.828.900.000.000;Desenvolvimento;Não
2847;BS-500;310514.35;Desenvolvimento;Não
3700;BSOL-5;56099.43;Desenvolvimento;Não
2481;BSU;32.735.819.299.999.900;Desenvolvimento;Não
2481;BSU;59.511.251.969.915;Produção;Não
2138;BT-POT-10;11.473.319.199.999.900;Produção;Não
2140;BT-POT-3;17992000;Produção;Não
2483;BT-REC-10;10210553.5;Produção;Não
3945;BÚZIOS;9816494700;Desenvolvimento;Sim
2147;BVS;10.693.304.605.999.900;Desenvolvimento;Não
2147;BVS;14.491.256.969.364.400;Produção;Não
2493;C;21.403.967.608.000.000;Desenvolvimento;Não
2493;C;8.337.944.173.179.830;Produção;Não
1343;CA;17.757.626.957.999.900;Desenvolvimento;Não
1343;CA;13.237.216.910.000.000;Produção;Não
2494;CA;8789554.05;Desenvolvimento;Não
2494;CA;2558099.92;Produção;Não
1344;CAB;6.001.039.119.999.990;Desenvolvimento;Não
1344;CAB;15.853.342.259.999.900;Produção;Não
4481;CABOCLINHO;0;Desenvolvimento;Sim
4481;CABOCLINHO;18660;Produção;Sim
89960;CABURÉ;0.035999999999999976;Desenvolvimento;Sim
234510;CABURÉ LESTE;0.026999999999999982;Desenvolvimento;Sim
2149;CAC;12.740.322.653.000.000;Desenvolvimento;Não
2149;CAC;7.483.861.532.894.410;Produção;Não
4315;CAÇÃO;1602712.52;Desenvolvimento;Sim
4184;CACHALOTE;640471769.95;Desenvolvimento;Sim
4184;CACHALOTE;2.391.486.892.623.840;Produção;Sim
2150;CAM;38.488.659.432.700.000;Desenvolvimento;Não
2150;CAM;3.568.145.535.068.140;Produção;Não
4308;CAMARUPIM;1.280.255.917.329.990;Desenvolvimento;Sim
