NOM_CAMPO,NOM_ESTADO,NUM_CONTRATO
ARATUM,Rio Grande do Norte,480000037809745
ÁREA DO ALS032,Alagoas,480000039179706
ÁREA DO BAS104,Bahia,480000038769712
AREA do BAS-37 (Licitado),Bahia,""
ÁREA DO BAS-48,Bahia,""
ÁREA DO BAS-60,Espírito Santo,""
AREA DO BAS-64 (Licitado),Bahia,""
ÁREA DO BAS-85,Espírito Santo,""
ÁREA DO BAS-86,Espírito Santo,""
ÁREA DO CES066,Ceará,480000039049756
ÁREA DO ESS-100,(estado não informado),480000035609749
ÁREA DO PAS-011,Pará,""
ÁREA DO RJS-150,Rio de Janeiro,""
AREA DO RNS-36,(NÃO CADASTRADO),""
ÁREA DO SES-092 (Licitado),Sergipe,""
AREA DO SES-2,(NÃO CADASTRADO),""
ARGONAUTA,Espírito Santo,480000035529711
ARRAIA,Bahia,480000038779785
ARRIBAÇÃ,Rio Grande do Norte,486100092272002
ARUARI,Sergipe,480000038449726
ASA BRANCA,Rio Grande do Norte,480000034829737
ATALAIA SUL,Sergipe,480000038459799
ATAPU,Rio de Janeiro,48610012913201005
ATLANTA,Rio de Janeiro,480000035739791
ATUM,Ceará,480000037759713
AZULÃO,Amazonas,480000034609702A
BACALHAU,São Paulo,486100038832000
BACALHAU NORTE,São Paulo,48610012964201703
BADEJO,Rio de Janeiro,480000037059720
BAGRE,Rio de Janeiro,480000037269708
BAIXA DO ALGODÃO,Rio Grande do Norte,480000037859769
BAIXA DO JUAZEIRO,Rio Grande do Norte,480000039149718
BAIXO VERMELHO,Rio Grande do Norte,""
BALEIA ANÃ,Espírito Santo,480000035609749
BALEIA AZUL,Espírito Santo,480000035609749
BALEIA FRANCA,Espírito Santo,480000035609749
BARRA BONITA,Paraná,48610001999201628
BARRA BONITA (Licitado),Paraná,480000039239709
BARRA DO IPIRANGA,Espírito Santo,480000037569761
BARRACUDA,Rio de Janeiro,480000038979792
BARRINHA,Rio Grande do Norte,480000037869721
BARRINHA LESTE,Rio Grande do Norte,486100039012000A
BARRINHA SUDOESTE,Rio Grande do Norte,486100039012000A
BAÚNA,São Paulo,486100094942003
BAUNA SUL,São Paulo,486100094932003A
BCED - 1-SFA-1-ES,(estado não informado),480000035419702
BEIJA-FLOR,Bahia,480000035149721
BELA VISTA,Bahia,""
BELA VISTA,Bahia,48610002000201668
Bem-te-vi,Espírito Santo,48610009193200525
BENFICA,Rio Grande do Norte,4861000400398
BERBIGÃO,Rio de Janeiro,486100038862000A
BICUDO,Rio de Janeiro,480000037179717
BIGUÁ,Espírito Santo,486100079842004
BIJUPIRÁ,Rio de Janeiro,480000037099781
BIQUARA,Rio Grande do Norte,480000039099770
BIRIBA,Bahia,480000036729772
BOA ESPERANÇA,Rio Grande do Norte,480000037879794
BOA VENTURA,(NÃO CADASTRADO),""
BOA VISTA,Rio Grande do Norte,480000037889757
BOM DESCANSO,(NÃO CADASTRADO),""
BOM LUGAR,Bahia,48610009285200513
BOM LUGAR (Licitado),Bahia,""
BONITO,Rio de Janeiro,480000037189771
BONSUCESSO,Bahia,480000036589741
BREJINHO,Bahia,480000036369717
BREJINHO,Rio Grande do Norte,480000037899710
